iter	Passed	Remaining
0	2	208
1	4	206
2	6	202
3	7	187
4	9	188
5	11	182
6	13	179
7	15	176
8	17	172
9	18	170
10	20	168
11	44	324
12	46	311
13	49	304
14	58	332
15	66	348
16	67	331
17	69	315
18	71	302
19	73	293
20	74	282
21	76	271
22	77	260
23	79	251
24	80	242
25	82	235
26	84	227
27	86	221
28	88	215
29	90	210
30	92	205
31	108	230
32	110	225
33	112	218
34	114	212
35	119	212
36	125	214
37	128	209
38	129	203
39	131	197
40	133	191
41	133	184
42	135	179
43	138	175
44	145	178
45	147	173
46	150	169
47	154	167
48	157	164
49	159	159
50	162	155
51	164	151
52	172	152
53	174	148
54	176	144
55	178	140
56	180	136
57	184	133
58	198	138
59	202	134
60	204	130
61	205	126
62	210	123
63	213	120
64	215	115
65	217	111
66	219	107
67	220	103
68	228	102
69	230	98
70	232	95
71	234	91
72	261	96
73	264	92
74	267	89
75	274	86
76	276	82
77	279	78
78	280	74
79	282	70
80	287	67
81	290	63
82	291	59
83	293	55
84	295	52
85	296	48
86	299	44
87	304	41
88	306	37
89	308	34
90	309	30
91	311	27
92	320	24
93	340	21
94	342	18
95	343	14
96	348	10
97	350	7
98	353	3
99	356	0
